0.422,0.555,0.452,0.343,
0.685,0.479,0.703,0.467,
1.062,0.602,0.652,1.419,
0.719,1.004,0.292,0.329,
0.632,0.311,0.873,1.137,
0.587,0.463,0.781,0.637,
0.732,0.344,0.353,0.319,
1.128,0.597,0.294,1.295,
0.639,0.681,0.67,0.229,
1.042,0.576,0.444,0.751,
0.236,0.48,0.938,0.923,
0.75,0.279,0.244,0.877,
0.663,0.668,0.409,1.201,
0.613,0.278,1.004,2.71,
0.493,0.576,0.92,0.664,
0.472,0.608,0.58,0.995,
0.733,0.588,0.341,0.977,
0.238,0.861,0.246,0.459,
0.67,0.605,0.786,0.931,
0.668,0.422,0.805,0.59,
0.678,0.523,0.271,1.558,
0.516,0.418,1.036,0.503,
0.833,0.656,0.713,0.396,
0.4,0.509,0.596,1.291,
0.829,0.528,0.477,2.354,
0.519,0.838,0.323,0.869,
0.575,0.684,0.614,0.66,
0.331,0.645,0.485,1.373,
0.385,0.376,0.399,0.279,
0.555,0.452,0.343,0.862,
